date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:55:17	40813/40813	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:55:14%20GMT	https://read-claymore-online.com/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/index.html	(from )
02:55:17	1353/1353	U--MC-	200	updated ('OK')	text/plain	date:Fri,%2022%20May%202020%2023:55:15%20GMT	https://read-claymore-online.com/robots.txt		(from )
02:55:23	134004/134004	---MC-	200	added ('OK')	application/rss+xml	etag:%223bd5ffb5fb4b8591e8c87f311b7a9998%22	https://read-claymore-online.com/feed/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/feed/index.html	(from https://read-claymore-online.com/)
02:55:26	97542/97542	U-----	200	untouched ('OK')	text/css	date:Sun,%2012%20Jan%202020%2015:23:50%20GMT	https://read-claymore-online.com/wp-content/plugins/simple-social-buttons/assets/css/front.css?ver=3.0.1	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/plugins/simple-social-buttons/assets/css/front41fe.css	(from https://read-claymore-online.com/)
02:55:27	83/83	U-----	200	untouched ('OK')	text/css	date:Fri,%2018%20Oct%202019%2017:20:24%20GMT	https://read-claymore-online.com/wp-content/plugins/widgets-on-pages/public/css/widgets-on-pages-public.css?ver=1.4.0	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/plugins/widgets-on-pages/public/css/widgets-on-pages-public2fca.css	(from https://read-claymore-online.com/)
02:55:33	27524/27524	U-----	200	untouched ('OK')	text/css	date:Fri,%2018%20Oct%202019%2017:20:28%20GMT	https://read-claymore-online.com/wp-content/themes/toivo-lite/fonts/genericons/genericons/genericons.css?ver=3.3	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/themes/toivo-lite/fonts/genericons/genericons/genericons6de8.css	(from https://read-claymore-online.com/)
02:55:34	772/772	U--MC-	200	updated ('OK')	application/rss+xml	etag:%2226b5894193fda5c7dc422c6a546dfd5f%22	https://read-claymore-online.com/comments/feed/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/comments/feed/index.html	(from https://read-claymore-online.com/)
02:55:36	70995/70995	U-----	200	untouched ('OK')	text/css	date:Fri,%2018%20Oct%202019%2017:20:28%20GMT	https://read-claymore-online.com/wp-content/themes/toivo-lite/style.css?ver=5.2.6	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/themes/toivo-lite/style5223.css	(from https://read-claymore-online.com/)
02:55:36	4714/4714	U-----	200	untouched ('OK')	text/css	date:Fri,%2018%20Oct%202019%2017:20:26%20GMT	https://read-claymore-online.com/wp-content/plugins/comic-easel/css/comiceasel.css?ver=5.2.6	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/plugins/comic-easel/css/comiceasel5223.css	(from https://read-claymore-online.com/)
02:55:37	92099/92099	U--MC-	200	updated ('OK')	application/json	date:Fri,%2022%20May%202020%2023:55:33%20GMT	https://read-claymore-online.com/wp-json/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-json/index.html	(from https://read-claymore-online.com/)
02:55:40	7518/7518	U-----	200	untouched ('')	application/javascript	date:Sun,%2012%20Jan%202020%2015:23:50%20GMT	https://read-claymore-online.com/wp-content/plugins/simple-social-buttons/assets/js/front.js?ver=3.0.1	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/plugins/simple-social-buttons/assets/js/front41fe.js	(from https://read-claymore-online.com/)
02:55:47	160533/160533	U-----	200	untouched ('')	image/jpeg	date:Fri,%2018%20Oct%202019%2017:20:28%20GMT	https://read-claymore-online.com/wp-content/themes/toivo-lite/images/header.jpg	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/themes/toivo-lite/images/header.jpg	(from https://read-claymore-online.com/)
02:55:50	2570/2570	U-----	200	untouched ('')	image/png	date:Thu,%2031%20Oct%202019%2013:32:12%20GMT	https://read-claymore-online.com/wp-content/uploads/2019/10/cropped-icon-1-32x32.png	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/uploads/2019/10/cropped-icon-1-32x32.png	(from https://read-claymore-online.com/)
